yreal,yimag,loss
2.209986,1.636601,6.6856203
-1.783601,2.093148,5.1311564
-0.550493,-1.122256,0.0015310296
2.648023,-0.741941,6.556674
-1.092933,0.606627,0.9257106
-1.585871,-2.246667,4.504748
-1.708133,-0.380503,1.329424
2.349653,-1.428856,6.073278
-0.500672,2.193588,3.255392
0.077254,-0.237764,1.8483274
-1.366843,0.617852,1.1434084
-0.704769,0.256515,0.3444476
-1.197072,1.905129,3.5242202
-1.21463,1.259831,1.0185959
1.197072,-1.905129,1.9124362
0.0,0.5,1.9170731
-0.439234,1.43425,0.53726035
0.991012,1.126008,0.35703474
-0.439234,-1.43425,0.44668865
-1.708133,0.380503,1.5016963
-2.478716,-1.68996,5.2688775
2.487173,-0.252921,4.129736
1.119428,1.345132,1.7767878
0.077254,0.237764,2.492011
2.702907,-1.301651,8.334084
-0.500672,-2.193588,2.7089634
-0.313316,-1.210096,0.0056090388
1.877021,2.009799,6.2372484
-0.375,-0.649519,0.1848273
0.661205,-1.060805,0.04538195
0.22419,-2.991611,4.6114526
-0.675306,-1.339389,0.22099908
2.648023,0.741941,6.8582315
-0.976238,-2.02718,2.8627152
-3.0,0.0,5.4481597
-0.920919,-2.591218,4.859104
-0.25192,-2.235852,2.4072447
-1.494596,-0.127209,1.14845
-2.724386,-0.374458,4.225907
-2.966492,-0.447127,5.354971
1.32241,-2.121611,2.8538523
2.478716,-1.68996,8.237222
1.224412,-0.251623,1.0676898
1.618034,1.175571,2.792143
-1.870469,-2.345494,5.510565
0.574533,0.482091,0.04909027
-0.126623,-2.496791,2.9034784
-2.412252,-1.320432,4.1707797
1.148697,0.492945,0.78296715
1.859553,-0.736249,0.9964366
0.861209,0.905991,0.16262314
-0.0,-2.25,2.0797553
0.728969,0.684547,0.13670884
-1.018253,1.423257,1.154165
-2.385348,0.748408,3.7362995
0.433013,-0.25,0.13410695
-2.385348,-0.748408,3.219123
-1.375,-2.38157,4.6539154
-1.096023,-2.792621,5.966001
0.991012,-1.126008,0.25482553
2.209986,-1.636601,5.8201036
-0.618034,1.902113,3.268735
0.25,0.0,3.6967597
0.312346,2.732204,5.0973525
-1.722417,-1.811982,3.2912548
-1.071654,1.688656,2.5590484
-0.433013,0.25,0.050898153
-1.984229,0.250666,2.005862
0.911646,1.493788,1.9563818
1.025954,-0.714085,0.16584393
1.096023,2.792621,7.2043815
1.731351,0.254802,0.36462316
0.500672,-2.193588,1.6025031
-0.89195,1.205996,0.42767453
0.626631,2.420193,4.2706404
-1.366843,-0.617852,0.7765755
-0.317864,1.72089,2.118311
-1.530265,1.976939,4.215761
-2.185867,-1.213255,3.1806002
1.905129,-1.197072,2.140664
-2.133206,1.735492,5.0097075
-0.574533,-0.482091,0.45872116
-1.457937,-1.369094,1.4203436
1.037903,2.546617,5.9324894
-1.100985,-2.244511,3.6148095
1.414316,0.49971,0.53110015
-1.870469,2.345494,6.42278
2.469851,1.20927,6.7991214
0.704769,-0.256515,0.5384002
-1.745331,0.127742,1.469539
-2.478716,1.68996,6.1346807
-0.125581,-1.996053,2.2122757
-0.75,0.0,0.07849542
-1.745331,-0.127742,1.3877138
-2.185867,1.213255,3.8673506
1.59099,-1.59099,2.1082714
-2.74715,0.125165,4.362788
1.459496,-0.965594,0.66723055
-1.634528,-0.625154,1.2123404
0.861209,-0.905991,0.08871074
-2.199156,2.040518,6.248596
1.530265,1.976939,4.6726804
1.309521,0.731542,0.34670553
-2.02718,-0.976238,2.3976583
-0.929776,0.368125,0.59249854
0.786461,1.277294,0.6120696
-2.866718,0.884266,5.8055305
-1.905129,-1.197072,2.4102929
2.02718,-0.976238,2.3361382
1.025954,0.714085,0.34149414
-0.187381,0.982287,0.29775256
1.675801,-0.504173,0.044586882
-0.374763,1.964575,3.2064264
-1.494596,0.127209,1.1808234
-1.243587,-0.12646,0.8712884
0.786461,-1.277294,0.44230592
0.062791,0.998027,0.096790776
0.1914,-1.739502,1.9272577
-0.637424,0.770513,0.67466444
-1.385119,1.069554,1.1134021
1.100985,-2.244511,2.4500413
0.062599,-2.749287,3.8355753
0.728969,-0.684547,0.017432498
-1.071654,-1.688656,1.9333674
-2.679047,0.620649,4.60771
-1.59099,1.59099,3.2226675
2.235852,0.25192,2.3093424
2.193588,-0.500672,2.2958255
1.265179,2.441684,6.1906443
0.535827,-0.844328,0.21086958
1.759121,1.402852,3.3103318
2.448825,0.503246,3.9877634
0.559285,-1.391834,0.70446616
-1.859553,0.736249,2.1854281
2.738606,0.250071,6.8082185
0.559504,2.692481,5.557596
2.185867,-1.213255,3.5525417
